epoch,accuracy,loss,val_accuracy,val_loss
0,0.765999972820282,0.7178648710250854,0.8662499785423279,0.3164253532886505
1,0.8475000262260437,0.3957052528858185,0.8824999928474426,0.3253211975097656
2,0.8759999871253967,0.32744768261909485,0.8475000262260437,0.4816758632659912
3,0.8895000219345093,0.28312236070632935,0.9012500047683716,0.29109686613082886
4,0.9049999713897705,0.2616465389728546,0.8924999833106995,0.31707870960235596
5,0.9175000190734863,0.21215113997459412,0.8974999785423279,0.31348735094070435
6,0.9300000071525574,0.21162669360637665,0.8987500071525574,0.34405192732810974
7,0.9330000281333923,0.20030012726783752,0.9024999737739563,0.34144505858421326
8,0.9384999871253967,0.16645710170269012,0.8924999833106995,0.4373095631599426
9,0.9505000114440918,0.14487409591674805,0.8824999928474426,0.47081610560417175
